Year,unemp,quit
2001 Jan,4.2,6.4
2001 Feb,4.2,5.4
2001 Mar,4.3,5.4
2001 Apr,4.4,5.2
2001 May,4.3,5.3
2001 Jun,4.5,5.1
2001 Jul,4.6,5.2
2001 Aug,4.9,5.2
2001 Sep,5,5.2
2001 Oct,5.3,4.9
2001 Nov,5.5,4.3
2001 Dec,5.7,4.1
2002 Jan,5.7,4.8
2002 Feb,5.7,4.7
2002 Mar,5.7,4.7
2002 Apr,5.9,4.9
2002 May,5.8,4.5
2002 Jun,5.8,4.5
2002 Jul,5.8,4.5
2002 Aug,5.7,4.4
2002 Sep,5.7,4.5
2002 Oct,5.7,4.2
2002 Nov,5.9,4.3
2002 Dec,6,4.3
2003 Jan,5.8,4.2
2003 Feb,5.9,4.5
2003 Mar,5.9,4.3
2003 Apr,6,4.3
2003 May,6.1,4
2003 Jun,6.3,4.3
2003 Jul,6.2,4.4
2003 Aug,6.1,4.1
2003 Sep,6.1,4.2
2003 Oct,6,4.4
2003 Nov,5.8,4.2
2003 Dec,5.7,4
2004 Jan,5.7,4
2004 Feb,5.6,4.3
2004 Mar,5.8,4.5
2004 Apr,5.6,4.4
2004 May,5.6,4.7
2004 Jun,5.6,4.3
2004 Jul,5.5,4.3
2004 Aug,5.4,4.5
2004 Sep,5.4,4.2
2004 Oct,5.5,4.2
2004 Nov,5.4,4.9
2004 Dec,5.4,4.6
2005 Jan,5.3,4.8
2005 Feb,5.4,4.2
2005 Mar,5.2,4.4
2005 Apr,5.2,4.3
2005 May,5.1,4.7
2005 Jun,5,4.3
2005 Jul,5,5
2005 Aug,4.9,5.1
2005 Sep,5,5.4
2005 Oct,5,5.7
2005 Nov,5,5.3
2005 Dec,4.9,4.7
2006 Jan,4.7,5.4
2006 Feb,4.8,5.4
2006 Mar,4.7,5.2
2006 Apr,4.7,4.4
2006 May,4.6,5
2006 Jun,4.6,5.3
2006 Jul,4.7,4.8
2006 Aug,4.7,4.9
2006 Sep,4.5,4.9
2006 Oct,4.4,4.9
2006 Nov,4.5,5.2
2006 Dec,4.4,5.3
2007 Jan,4.6,5
2007 Feb,4.5,5.1
2007 Mar,4.4,4.9
2007 Apr,4.5,5.1
2007 May,4.4,5
2007 Jun,4.6,5
2007 Jul,4.7,5.1
2007 Aug,4.6,5
2007 Sep,4.7,3.7
2007 Oct,4.7,5
2007 Nov,4.7,5.3
2007 Dec,5,5
2008 Jan,5,4.7
2008 Feb,4.9,4.8
2008 Mar,5.1,4.8
2008 Apr,5,4.7
2008 May,5.4,5
2008 Jun,5.6,4.6
2008 Jul,5.8,4.3
2008 Aug,6.1,4.1
2008 Sep,6.1,4.3
2008 Oct,6.5,4.3
2008 Nov,6.8,3.8
2008 Dec,7.3,3.7
2009 Jan,7.8,3.6
2009 Feb,8.3,3.5
2009 Mar,8.7,3.2
2009 Apr,9,3.2
2009 May,9.4,3
2009 Jun,9.5,3
2009 Jul,9.5,2.9
2009 Aug,9.6,3.1
2009 Sep,9.8,2.6
2009 Oct,10,2.9
2009 Nov,9.9,3.2
2009 Dec,9.9,3
2010 Jan,9.7,3.1
2010 Feb,9.8,3.1
2010 Mar,9.9,3
2010 Apr,9.9,3
2010 May,9.6,3.1
2010 Jun,9.4,2.9
2010 Jul,9.5,3
2010 Aug,9.5,3
2010 Sep,9.5,3
2010 Oct,9.5,3
2010 Nov,9.8,2.9
2010 Dec,9.4,3.1
2011 Jan,9.1,3
2011 Feb,9,2.9
2011 Mar,9,3.1
2011 Apr,9.1,3
2011 May,9,2.9
2011 Jun,9.1,3.1
2011 Jul,9,3.1
2011 Aug,9,3.4
2011 Sep,9,3.3
2011 Oct,8.8,2.9
2011 Nov,8.6,3
2011 Dec,8.5,3
2012 Jan,8.2,3
2012 Feb,8.3,3.2
2012 Mar,8.2,3.6
2012 Apr,8.2,3.3
2012 May,8.2,3.4
2012 Jun,8.2,3.4
2012 Jul,8.2,3.3
2012 Aug,8.1,3.3
2012 Sep,7.8,3.1
2012 Oct,7.8,3.3
2012 Nov,7.8,3.4
2012 Dec,7.9,3.5
2013 Jan,7.9,3.6
2013 Feb,7.7,3.7
2013 Mar,7.5,3.3
2013 Apr,7.5,3.4
2013 May,7.5,3.5
2013 Jun,7.5,3.2
2013 Jul,7.3,3.3
2013 Aug,7.2,3.3
2013 Sep,7.2,3.5
2013 Oct,7.2,3.8
2013 Nov,7,4
2013 Dec,6.7,3.3